Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_diff,Power_proxy,Tool_wear_norm,FailureMode
L,300.8,310.3,1538,36.1,198,0,0,0,0,0,0,9.5,55521.8,0.782608695652174,NORMAL
L,303.3,311.3,1592,33.7,14,0,0,0,0,0,0,8.0,53650.4,0.0553359683794466,NORMAL
L,302.4,310.4,1865,23.9,129,0,0,0,0,0,0,8.0,44573.5,0.5098814229249012,NORMAL
L,303.7,312.7,1335,51.1,161,0,0,0,0,0,0,9.0,68218.5,0.6363636363636364,NORMAL
L,300.3,311.7,1707,33.6,158,0,0,0,0,0,0,11.399999999999975,57355.2,0.6245059288537549,NORMAL
L,302.4,311.7,1495,36.8,215,0,0,0,0,0,0,9.300000000000011,55015.99999999999,0.849802371541502,NORMAL
L,302.0,311.0,1420,45.9,144,0,0,0,0,0,0,9.0,65178.0,0.5691699604743083,NORMAL
L,300.6,310.9,1471,37.9,86,0,0,0,0,0,0,10.299999999999956,55750.9,0.3399209486166007,NORMAL
L,297.8,309.7,1341,49.2,208,0,0,0,0,0,0,11.899999999999975,65977.2,0.8221343873517787,NORMAL
L,298.3,308.3,1452,45.5,63,0,0,0,0,0,0,10.0,66066.0,0.2490118577075099,NORMAL
L,300.6,310.4,1556,37.7,122,0,0,0,0,0,0,9.799999999999956,58661.2,0.4822134387351778,NORMAL
L,299.6,310.8,1400,40.8,118,0,0,0,0,0,0,11.199999999999989,57119.99999999999,0.466403162055336,NORMAL
L,299.2,308.5,1442,46.5,11,0,0,0,0,0,0,9.300000000000011,67053.0,0.0434782608695652,NORMAL
L,303.1,311.2,1435,40.1,219,0,0,0,0,0,0,8.099999999999966,57543.5,0.8656126482213439,NORMAL
L,298.9,309.6,1589,34.2,197,0,0,0,0,0,0,10.700000000000044,54343.8,0.7786561264822134,NORMAL
L,303.7,312.7,1395,53.9,123,0,0,0,0,0,0,9.0,75190.5,0.4861660079051383,NORMAL
L,297.7,307.5,1379,43.3,111,0,0,0,0,0,0,9.800000000000011,59710.7,0.4387351778656126,NORMAL
L,301.7,310.7,1763,25.9,3,0,0,0,0,0,0,9.0,45661.7,0.0118577075098814,NORMAL
L,297.5,308.9,1443,43.5,0,0,0,0,0,0,0,11.399999999999975,62770.5,0.0,NORMAL
L,297.8,308.4,1518,32.5,190,0,0,0,0,0,0,10.599999999999966,49335.0,0.7509881422924901,NORMAL
L,299.8,309.6,1447,43.1,12,0,0,0,0,0,0,9.800000000000011,62365.7,0.0474308300395256,NORMAL
L,303.0,311.2,1511,45.7,184,0,0,0,0,0,0,8.199999999999989,69052.7,0.7272727272727273,NORMAL
L,298.6,309.5,1325,52.2,127,0,0,0,0,0,0,10.899999999999975,69165.0,0.5019762845849802,NORMAL
L,301.6,310.8,1564,34.1,150,0,0,0,0,0,0,9.199999999999989,53332.4,0.5928853754940712,NORMAL
L,302.3,311.4,1535,41.8,77,0,0,0,0,0,0,9.099999999999966,64162.99999999999,0.3043478260869565,NORMAL
L,298.6,309.6,1353,62.5,9,0,0,0,0,0,0,11.0,84562.5,0.0355731225296442,NORMAL
L,298.1,308.7,1568,32.9,10,0,0,0,0,0,0,10.599999999999966,51587.2,0.0395256916996047,NORMAL
L,298.5,309.5,1480,38.1,160,0,0,0,0,0,0,11.0,56388.0,0.6324110671936759,NORMAL
L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,70875.0,0.4387351778656126,NORMAL
L,303.6,312.2,1696,30.7,5,0,0,0,0,0,0,8.599999999999966,52067.2,0.0197628458498023,NORMAL
L,298.1,307.5,1684,33.1,200,0,0,0,0,0,0,9.399999999999975,55740.4,0.7905138339920948,NORMAL
L,299.1,308.5,1455,39.8,145,0,0,0,0,0,0,9.399999999999975,57908.99999999999,0.5731225296442688,NORMAL
L,302.3,311.2,1758,24.4,68,0,0,0,0,0,0,8.899999999999977,42895.2,0.2687747035573122,NORMAL
L,298.8,310.6,1651,33.3,0,0,0,0,0,0,0,11.800000000000011,54978.3,0.0,NORMAL
L,303.8,312.9,1819,23.7,16,0,0,0,0,0,0,9.099999999999966,43110.3,0.0632411067193675,NORMAL
L,300.8,311.7,1681,31.3,221,0,0,0,0,0,0,10.899999999999975,52615.3,0.8735177865612648,NORMAL
L,298.9,308.6,1539,45.4,4,0,0,0,0,0,0,9.700000000000044,69870.59999999999,0.0158102766798418,NORMAL
L,297.3,308.4,1339,52.1,36,0,0,0,0,0,0,11.099999999999966,69761.90000000001,0.1422924901185771,NORMAL
L,301.0,312.2,1602,35.9,67,0,0,0,0,0,0,11.199999999999989,57511.8,0.2648221343873518,NORMAL
L,300.9,310.7,1479,43.3,201,0,0,0,0,0,0,9.800000000000011,64040.7,0.7944664031620553,NORMAL
L,299.0,310.3,1520,45.0,171,0,0,0,0,0,0,11.300000000000011,68400.0,0.6758893280632411,NORMAL
L,299.6,310.9,1448,46.3,196,0,0,0,0,0,0,11.299999999999956,67042.4,0.7747035573122529,NORMAL
L,299.7,309.1,1715,27.8,192,0,0,0,0,0,0,9.400000000000034,47677.0,0.758893280632411,NORMAL
L,298.5,309.8,1593,35.1,203,0,0,0,0,0,0,11.300000000000011,55914.3,0.8023715415019763,NORMAL
L,300.7,309.6,1733,24.8,85,0,0,0,0,0,0,8.900000000000034,42978.4,0.3359683794466403,NORMAL
L,299.7,311.2,1352,52.1,176,0,0,0,0,0,0,11.5,70439.2,0.6956521739130435,NORMAL
L,295.9,306.6,1557,41.1,113,0,0,0,0,0,0,10.700000000000044,63992.7,0.4466403162055335,NORMAL
L,301.7,311.0,1700,28.7,19,0,0,0,0,0,0,9.300000000000011,48790.0,0.075098814229249,NORMAL
L,295.5,306.2,1448,48.9,65,0,0,0,0,0,0,10.699999999999989,70807.2,0.2569169960474308,NORMAL
L,301.3,311.0,1554,47.7,84,0,0,0,0,0,0,9.699999999999989,74125.8,0.3320158102766798,NORMAL
L,300.4,309.7,1488,35.7,177,0,0,0,0,0,0,9.300000000000011,53121.600000000006,0.6996047430830039,NORMAL
L,297.0,307.8,1500,39.9,175,0,0,0,0,0,0,10.800000000000011,59850.0,0.691699604743083,NORMAL
L,300.3,311.5,1548,32.2,25,0,0,0,0,0,0,11.199999999999989,49845.600000000006,0.0988142292490118,NORMAL
L,299.9,311.3,1647,27.5,26,0,0,0,0,0,0,11.400000000000034,45292.5,0.1027667984189723,NORMAL
L,300.8,311.7,1432,45.8,6,0,0,0,0,0,0,10.899999999999975,65585.59999999999,0.0237154150197628,NORMAL
L,296.8,307.8,1565,39.5,124,0,0,0,0,0,0,11.0,61817.5,0.4901185770750988,NORMAL
L,300.4,309.7,1534,42.5,127,0,0,0,0,0,0,9.300000000000011,65195.0,0.5019762845849802,NORMAL
L,302.3,310.8,1377,47.3,22,1,0,1,0,0,0,8.5,65132.1,0.0869565217391304,HDF
L,297.9,309.1,1595,32.0,32,0,0,0,0,0,0,11.200000000000044,51040.0,0.1264822134387351,NORMAL
L,300.2,311.3,1487,36.9,71,0,0,0,0,0,0,11.100000000000025,54870.3,0.2806324110671936,NORMAL
L,299.8,309.9,1553,36.6,157,0,0,0,0,0,0,10.099999999999966,56839.8,0.6205533596837944,NORMAL
L,296.8,307.9,1337,56.5,5,0,0,0,0,0,0,11.099999999999966,75540.5,0.0197628458498023,NORMAL
L,303.6,312.4,2232,16.8,0,0,0,0,0,0,0,8.799999999999955,37497.6,0.0,NORMAL
L,300.2,311.6,1511,35.7,160,0,0,0,0,0,0,11.400000000000034,53942.7,0.6324110671936759,NORMAL
L,301.3,311.3,1509,42.5,213,0,0,0,0,0,0,10.0,64132.5,0.841897233201581,NORMAL
L,299.5,309.1,1476,47.8,223,0,0,0,0,0,0,9.600000000000025,70552.8,0.8814229249011858,NORMAL
L,297.9,307.7,1517,44.4,67,0,0,0,0,0,0,9.800000000000011,67354.8,0.2648221343873518,NORMAL
L,297.4,308.5,1462,42.8,68,0,0,0,0,0,0,11.100000000000025,62573.6,0.2687747035573122,NORMAL
L,299.1,308.1,1479,40.7,10,0,0,0,0,0,0,9.0,60195.3,0.0395256916996047,NORMAL
L,301.7,311.2,1418,38.0,166,0,0,0,0,0,0,9.5,53884.0,0.6561264822134387,NORMAL
L,302.1,311.2,1519,39.3,155,0,0,0,0,0,0,9.099999999999966,59696.7,0.6126482213438735,NORMAL
L,297.1,308.5,1578,35.6,46,0,0,0,0,0,0,11.399999999999975,56176.8,0.1818181818181818,NORMAL
L,301.8,310.8,1505,41.2,33,0,0,0,0,0,0,9.0,62006.00000000001,0.1304347826086956,NORMAL
L,300.4,311.3,1608,35.1,114,0,0,0,0,0,0,10.900000000000034,56440.8,0.4505928853754941,NORMAL
L,296.9,308.0,1332,53.9,7,0,0,0,0,0,0,11.100000000000025,71794.8,0.0276679841897233,NORMAL
L,301.9,310.6,1331,68.6,85,1,0,0,1,0,0,8.700000000000045,91306.6,0.3359683794466403,PWF
L,301.9,310.7,1370,50.3,20,0,0,0,0,0,0,8.800000000000011,68911.0,0.0790513833992094,NORMAL
L,300.4,310.8,1520,37.6,151,0,0,0,0,0,0,10.400000000000034,57152.0,0.5968379446640316,NORMAL
L,301.4,310.8,1285,62.6,183,1,0,0,0,1,0,9.400000000000034,80441.0,0.7233201581027668,OSF
L,303.3,311.6,1514,34.7,130,0,0,0,0,0,0,8.300000000000011,52535.8,0.5138339920948617,NORMAL
L,301.4,310.7,1605,34.2,94,0,0,0,0,0,0,9.300000000000011,54891.00000000001,0.3715415019762846,NORMAL
L,302.0,310.4,1336,58.2,110,1,0,1,0,0,0,8.399999999999977,77755.2,0.4347826086956521,HDF
L,297.1,308.3,1763,25.7,139,0,0,0,0,0,0,11.199999999999989,45309.1,0.549407114624506,NORMAL
L,301.0,310.4,1614,31.6,84,0,0,0,0,0,0,9.399999999999975,51002.4,0.3320158102766798,NORMAL
L,300.0,309.3,1473,46.0,35,0,0,0,0,0,0,9.300000000000011,67758.0,0.1383399209486166,NORMAL
L,297.5,309.3,1564,37.5,20,0,0,0,0,0,0,11.800000000000011,58650.0,0.0790513833992094,NORMAL
